id,peso,entrada_tsotsil,tipo_abreviado,tipo_palabra,categoria_general,traduccion_espanol,uso_o_ejemplo,region_abreviada,region,vease,nota_parentesis,transcripcion_original
5272,167,"ta xmac, ta xmaculaj",vi,verbo intransitivo,verbo,"se atora, se",Li eanobil lume ta xmaculaj ta ton.,,,maquel,,"ta xmac, ta xmaculaj vi se atora, se cierra: cerrarse. Li eanobil lume ta xmaculaj ta ton. La carretilla se atora por las piedras. Véase maquel"
5273,167,ta xmac sat,,,variante dialectal,queda ciego Véase,,Ch'en,Chenalhó,ta xma'ub ta xmac schiquin ensordece; maquel ta xmactsaj /xt lo atrasa; ta smac,,ta xmac sat Ch'en queda ciego Véase ta xma'ub ta xmac schiquin ensordece Véase maquel ta xmactsaj /xt lo atrasa Véase ta smac
5274,167,ta xmacvan,vi,verbo intransitivo,verbo,"1, estorba. Li tem li'i",Li tem li'i scan tsulel ech'el jutuc yu'un ta xmacvan.,,,maquel ta xmac yo'on se sofoca ta xmajat ta sic se enfría; majel,,"ta xmacvan vi 1, estorba. Li tem li'i scan tsulel ech'el jutuc yu'un ta xmacvan. Hay que hacer a un lado esta cama porque estorba aquí. 2. atrasa, retrasa, demora. Ja' ta xmacvan ta xanbal tana li coxo ca'e. Este caballo renco nos va a atrasar ahora. Véase maquel ta xmac yo'on se sofoca ta xmajat ta sic se enfría. Pixo lec li unene yo! c'uxi mu xmajat ta sic c!alal vayale. Tapa bien al niño ta xme'anaj para que no se enfríe mientras duerme. Véase majel"
5275,167,ta xmal,vi,verbo intransitivo,verbo,"se derrama, escurre.",,,,malel ta xmal c'actal [xt se hace tarde (en la tarde); ta xmalub c'ac'al,en la tarde,"ta xmal vi se derrama, escurre. Juchano lec li p'inal ule mi mo'oje ta xmal. Coloca bien la olla de atole porque se puede derramar. Véase malel ta xmal c'actal [xt se hace tarde (en la tarde) Véase ta xmalub c'ac'al"
5276,167,ta xmalij,vi,verbo intransitivo,verbo,se casa (con un hombre).,Li jvixe ta xmalij xa yu'un c'anbil xa.,,,malalil,con un hombre,ta xmalij vi se casa (con un hombre). Li jvixe ta xmalij xa yu'un c'anbil xa. Mi hermana se va a casar; ya está comprometida. Véase malalil
5277,167,ta xmalub,vi,verbo intransitivo,verbo,se envejece. Li buch'u,Li buch'u toj toyol x'ipaje ta ora ta xmalub.,,,mol; clactal ta xmalub c'actal se hace tarde,,ta xmalub vi se envejece. Li buch'u toj toyol x'ipaje ta ora ta xmalub. El que se enferma mucho pronto se envejece. Véase mol; clactal ta xmalub c'actal se hace tarde
5278,167,(en la tarde),,,variante dialectal,ta xmal,,Ixt,Ixtapa,,en la tarde,(en la tarde) Ixt ta xmal ctactal
5279,167,ta xmanolaj,vi,verbo intransitivo,verbo,hace compras. Li,Li antsetique ta xmanolajic ta ch'ivit.,,,manel,,ta xmanolaj vi hace compras. Li antsetique ta xmanolajic ta ch'ivit. Las mujeres están haciendo compras en la plaza. Véase manel
5280,167,ta xmatsmats-vay,vi,verbo intransitivo,verbo,dormita Véase,,,,vayel,,ta xmatsmats-vay vi dormita Véase vayel
5281,167,ta xmats'i,vi,verbo intransitivo,verbo,"se atora, se atasca. Li",Li yoc li cae imats'i ta ach'el.,,,mats'iel,,"ta xmats'i vi se atora, se atasca. Li yoc li cae imats'i ta ach'el. La pata del caballo se atoró en el lodo. Véase mats'iel"
5282,167,ta xmats'tsaj,,,variante dialectal,"se atora, se atasca",,Ch'en,Chenalhó,ta xmats'i ta xma'ub ví se ciega: cegarse; ma'sat,,"ta xmats'tsaj Ch'en se atora, se atasca Véase ta xmats'i ta xma'ub ví se ciega: cegarse Véase ma'sat"
5283,167,ta xmelolin,vi,verbo intransitivo,verbo,da la interpretación o,,,,melel,,ta xmelolin vi da la interpretación o sentido. Yacal ta xmelolin li c'usi chal li vinic li'i. El hombre está dando la interpretación correcta. Véase melel
